temp,spCond,pH,ODO,turb,fDOM,CHL,NO3
20.653,1175.57,7.78,96.86,39.85,52.52,4.8,31.68
20.708,1176.09,7.78,97.05,50.84,49.98,5.31,31.56
20.708,1176.21,7.78,97.04,50.27,50.01,5.52,31.85
20.708,1176.14,7.78,97.03,51.3,50.03,5.52,31.39
20.708,1176.09,7.78,97.03,50.35,50.06,5.48,32.46
20.708,1176.11,7.78,97.03,49.89,50.09,5.44,31.88
20.708,1176.11,7.78,97.04,49.44,50.15,5.37,31.85
20.708,1176.09,7.78,97.04,49.52,50.18,5.34,31.53
20.708,1176.08,7.78,97.04,49.51,50.19,5.3,31.79
20.708,1176.01,7.78,97.03,48.18,50.22,5.3,31.64
20.708,1176.05,7.78,97.03,50.94,50.22,5.38,31.72
20.708,1176.04,7.78,97.02,50.18,50.23,5.53,31.72
20.707,1176.04,7.78,97.02,50.22,50.2,5.57,32.25
20.707,1176.05,7.78,97.02,50.3,50.17,5.54,32.2
20.707,1176.07,7.78,97.02,50.64,50.13,5.58,32.13
20.707,1176.06,7.78,97.02,50.68,50.09,5.53,31.34
20.707,1176.11,7.78,97.03,50.94,50.03,5.37,30.69
20.708,1176.11,7.78,97.05,50.72,50.02,5.21,31.26
20.71,1176.25,7.78,97.06,47.94,50.03,5.1,31.92
20.713,1176.36,7.78,97.08,48.64,50.03,4.99,31.38
20.717,1176.58,7.78,97.11,48.39,50.05,4.91,31.72
20.722,1176.77,7.78,97.13,47.88,50.05,4.87,31.75
20.725,1176.89,7.78,97.16,47.47,50.07,4.88,31.89
20.728,1176.94,7.78,97.18,49.68,50.1,4.94,31.88
20.729,1177.02,7.78,97.2,49.54,50.15,5.02,31.09
20.729,1176.96,7.78,97.21,50.17,50.19,5.15,31.62
20.727,1176.83,7.78,97.21,48.36,50.22,5.25,31.41
20.717,1175.92,7.78,97.11,46.87,50.8,5.4,31.29
20.715,1175.95,7.78,97.1,46.62,50.72,5.41,31.72
20.714,1176.01,7.78,97.1,49.15,50.59,5.56,31.93
20.715,1175.98,7.78,97.12,49,50.53,5.53,32.16
20.716,1175.96,7.78,97.13,48.78,50.56,5.52,31.49
20.716,1175.98,7.78,97.13,48.48,50.58,5.55,31.61
20.716,1175.96,7.78,97.14,48.53,50.57,5.54,31.84
20.716,1175.91,7.78,97.14,47.92,50.58,5.5,31.31
20.716,1175.94,7.78,97.14,50.45,50.58,5.48,31.93
20.716,1175.93,7.78,97.14,50.63,50.58,5.47,31.67
