temp,spCond,pH,ODO,turb,fDOM,CHL,NO3,cluster,SUBcluster
14.58,197.41,7.6,104.27,11.35,25.91,1,17.42,2,3
14.578,197.34,7.6,104.29,11.35,25.9,1.01,17.43,2,3
14.578,197.39,7.6,104.3,11.36,25.9,1.03,17.42,2,3
14.58,197.59,7.6,104.32,11.37,25.9,1.03,17.53,2,3
14.582,198.1,7.6,104.34,11.44,25.91,0.99,17.42,2,3
14.575,198.19,7.6,104.26,11.3,25.96,1.04,17.71,2,3
14.574,198.21,7.6,104.25,11.33,25.96,1.04,17.59,2,3
14.574,198.16,7.6,104.25,11.38,25.96,1.04,17.74,2,3
14.574,198.08,7.6,104.24,11.37,25.97,1.03,17.6,2,3
14.574,198.11,7.6,104.23,11.45,25.97,1.02,17.43,2,3
14.574,198.15,7.6,104.23,11.42,25.97,1,17.71,2,3
14.575,198.12,7.6,104.22,11.38,25.97,1.01,17.63,2,3
14.575,198.17,7.6,104.21,11.37,25.99,1.01,17.61,2,3
14.575,198.12,7.6,104.21,11.31,25.99,1.01,17.5,2,3
14.575,198.1,7.6,104.21,11.3,25.98,1.01,17.71,2,3
14.575,198.11,7.6,104.21,11.28,25.98,1.02,17.65,2,3
14.575,198.15,7.6,104.21,11.24,25.97,1.02,17.61,2,3
14.575,198.14,7.6,104.21,11.17,25.97,1.01,17.63,2,3
14.575,198.08,7.6,104.21,11.12,25.97,1.02,17.62,2,3
14.575,198.05,7.6,104.2,11.12,25.97,1.03,17.5,2,3
14.575,198.01,7.6,104.2,11.08,25.97,1.03,17.55,2,3
14.574,197.91,7.6,104.2,10.99,25.96,1.01,17.73,2,3
14.574,197.88,7.6,104.2,11,25.96,1.01,17.54,2,3
14.574,197.8,7.6,104.2,10.98,25.96,1.01,17.7,2,3
14.573,197.76,7.6,104.19,10.96,25.97,1,17.57,2,3
14.572,197.72,7.6,104.19,11.01,25.97,1.01,17.58,2,3
14.566,197.44,7.6,104.14,11.18,25.96,1.02,17.55,2,3
14.558,197.17,7.6,104.09,11.24,26,0.99,17.55,2,3
14.556,197.07,7.6,104.08,11.19,26.01,0.98,17.65,2,3
14.555,197,7.6,104.08,11.16,26.01,0.97,17.69,2,3
14.554,196.96,7.6,104.07,11.19,25.99,0.97,17.59,2,3
14.553,196.94,7.6,104.07,11.15,25.99,0.96,17.66,2,3
14.553,197.01,7.6,104.08,11.12,25.99,0.96,17.65,2,3
14.554,197,7.6,104.08,11.07,25.97,0.96,17.52,2,3
14.554,196.99,7.59,104.08,10.99,25.97,0.96,17.6,2,3
14.554,197,7.59,104.09,11,25.94,0.96,17.56,2,3
14.554,197.07,7.59,104.09,10.94,25.96,0.97,17.53,2,3
14.554,197.14,7.59,104.08,10.95,25.97,0.97,17.58,2,3
